Data;Fix;Top;Premium M.;Premium F.;Multiprev M.;Multiprev F.;Previdence;XP Prev;Access;Synta;Capit D. Inc;Capit D. Inc F.;Aquila6;Strategy;CW1;Inflation;Index;Alfa;Harpia;Emb;Portfolio;Multi;Volks Fusca;Fcopel;São Paulo;Reit ;Reit 90
24/05/2019;193%;187%;186%;168%;143%;134%;112%;120%;195%;205%;215%;177%;122%;11%;234%;58%;52%;219%;230%;173%;2%;-9%;38%;179%;18%;61%;1236%
27/05/2019;129%;123%;-77%;-66%;207%;197%;161%;618%;169%;17%;363%;298%;297%;-48%;437%;75%;68%;322%;302%;122%;4%;-7%;80%;393%;248%;590%;756%
28/05/2019;109%;103%;94%;87%;103%;94%;124%;113%;137%;-42%;206%;173%;95%;-28%;452%;57%;50%;851%;821%;167%;1%;-9%;47%;790%;-67%;-579%;-100%
29/05/2019;109%;103%;304%;273%;200%;190%;184%;143%;293%;48%;196%;165%;203%;16%;282%;57%;50%;313%;319%;174%;1%;-9%;-35%;428%;87%;-124%;942%
30/05/2019;-6%;-11%;-14%;-10%;-26%;-34%;-19%;-25%;-58%;-85%;-72%;-49%;147%;17%;301%;57%;50%;310%;312%;170%;1%;-9%;87%;556%;-151%;1602%;1521%
31/05/2019;181%;175%;207%;187%;150%;141%;155%;134%;197%;250%;223%;186%;368%;-532%;521%;-1345%;-1313%;203%;188%;170%;-473%;-489%;-25%;578%;-88%;1870%;2474%
03/06/2019;227%;221%;267%;239%;125%;116%;115%;62%;199%;293%;52%;49%;75%;235%;12%;65%;58%;210%;154%;170%;3%;-7%;38%;437%;-89%;-242%;190%
04/06/2019;240%;234%;279%;247%;252%;242%;39%;146%;175%;307%;251%;207%;24%;78%;50%;50%;43%;239%;244%;170%;0%;-10%;35%;96%;29%;-784%;-1354%
05/06/2019;182%;176%;235%;208%;549%;537%;488%;104%;334%;159%;20%;7%;210%;-155%;167%;118%;108%;545%;793%;170%;1%;-9%;39%;27%;-27%;-723%;-33%
06/06/2019;223%;217%;179%;160%;108%;100%;120%;103%;190%;151%;413%;337%;77%;122%;548%;52%;46%;181%;443%;151%;1%;-9%;37%;654%;357%;-380%;-737%
07/06/2019;160%;154%;136%;123%;82%;73%;66%;92%;126%;65%;431%;351%;88%;9%;586%;37%;31%;652%;511%;-98%;1%;-10%;-3998%;715%;140%;363%;450%
10/06/2019;174%;168%;563%;487%;139%;130%;77%;73%;73%;116%;6%;12%;283%;-3%;865%;56%;49%;309%;271%;177%;3%;-8%;4099%;371%;559%;786%;1050%
11/06/2019;142%;136%;-213%;-174%;152%;143%;95%;-13%;146%;102%;124%;106%;145%;70%;170%;50%;44%;-3767%;-85%;136%;2%;-9%;38%;360%;-61%;333%;251%
12/06/2019;49%;43%;77%;72%;188%;178%;159%;236%;125%;56%;301%;248%;238%;-13%;112%;50%;43%;-203%;-166%;161%;0%;-10%;41%;-53%;683%;1153%;746%
13/06/2019;-6%;-12%;57%;55%;18%;10%;37%;143%;-54%;-17%;-7%;2%;160%;45%;309%;123%;114%;206%;219%;149%;0%;-10%;37%;493%;211%;1356%;-171%
14/06/2019;-1890%;-1895%;101%;93%;148%;139%;152%;104%;106%;61%;173%;145%;-790%;-28763%;-552%;-34250%;-33332%;381%;399%;59%;-43561%;-44127%;44%;420%;181%;569%;729%
17/06/2019;187%;181%;211%;187%;263%;254%;248%;254%;281%;200%;91%;80%;274%;115%;269%;61%;53%;-121%;62%;196%;2%;-9%;-52%;138%;-10396%;-56%;-167%
18/06/2019;104%;97%;112%;102%;-84%;-91%;-9%;94%;107%;122%;259%;214%;46%;16%;500%;55%;47%;292%;156%;130%;1%;-11%;38%;212%;374%;-23%;49%
19/06/2019;120%;114%;159%;143%;3%;-5%;6%;29%;53%;155%;52%;49%;251%;15%;374%;55%;47%;2325%;-337%;130%;1%;-10%;25%;683%;156%;2185%;1101%
21/06/2019;241%;235%;233%;206%;41%;33%;2%;17%;142%;202%;168%;141%;134%;52%;797%;58%;50%;-1435%;858%;131%;1%;-10%;36%;1252%;81%;541%;317%
24/06/2019;145%;139%;153%;137%;147%;139%;156%;73%;99%;140%;25%;28%;125%;24%;-78%;61%;53%;168%;40%;127%;2%;-9%;39%;168%;-149%;147%;302%
25/06/2019;121%;115%;104%;95%;217%;206%;174%;93%;36%;90%;327%;268%;92%;26%;-222%;54%;47%;-224%;-133%;124%;0%;-10%;33%;-446%;-2%;-525%;-488%
26/06/2019;23%;17%;20%;24%;42%;34%;41%;25%;74%;-5%;-485%;-378%;247%;330%;445%;678%;652%;210%;217%;85%;948%;951%;39%;366%;595%;1136%;1224%
27/06/2019;248%;242%;182%;161%;118%;109%;107%;103%;149%;170%;293%;241%;16%;56%;181%;87%;79%;328%;274%;298%;41%;31%;52%;147%;-107%;-762%;-236%
28/06/2019;317%;311%;234%;206%;119%;110%;113%;3%;177%;263%;234%;194%;290%;-370%;637%;-207%;-207%;294%;372%;117%;-351%;-367%;13287%;699%;-1275%;1518%;2329%
01/07/2019;20%;14%;-141%;-151%;-3%;-9%;17%;-151%;-81%;626%;-291%;-305%;73%;72%;123%;134%;126%;200%;172%;234%;3%;-7%;38%;436%;333%;1355%;1183%
02/07/2019;46%;40%;81%;72%;69%;61%;66%;34%;229%;-417%;138%;123%;213%;59%;245%;53%;47%;-171%;-124%;-7%;2%;-8%;39%;-49%;352%;1518%;204%
03/07/2019;208%;201%;188%;179%;201%;189%;172%;256%;215%;169%;370%;352%;335%;-11%;589%;118%;110%;304%;267%;117%;2%;-8%;-12%;517%;184%;1020%;632%
04/07/2019;125%;119%;132%;122%;104%;96%;64%;112%;67%;61%;-27%;-42%;44%;-47%;306%;53%;46%;377%;348%;117%;1%;-9%;36%;355%;-118%;-219%;211%
05/07/2019;61%;55%;76%;66%;96%;88%;83%;121%;66%;0%;-183%;-196%;120%;22%;295%;53%;46%;129%;129%;117%;1%;-9%;29%;205%;76%;340%;314%
08/07/2019;86%;80%;75%;65%;47%;39%;34%;65%;131%;25%;-254%;-269%;1%;35%;169%;53%;46%;464%;388%;111%;2%;-8%;37%;292%;-105%;-411%;-176%
09/07/2019;102%;96%;106%;96%;107%;98%;99%;97%;101%;91%;69%;53%;87%;10%;121%;53%;46%;95%;94%;116%;1%;-9%;36%;85%;24%;-7%;-9%
10/07/2019;142%;136%;85%;76%;125%;116%;87%;143%;319%;79%;329%;312%;170%;13%;713%;61%;54%;531%;441%;222%;3%;-8%;36%;787%;97%;304%;-120%
11/07/2019;142%;136%;164%;154%;119%;110%;113%;53%;101%;138%;131%;115%;19%;81%;289%;103%;95%;182%;149%;122%;0%;-10%;-79%;46%;181%;-829%;-311%
12/07/2019;190%;184%;239%;229%;217%;207%;190%;255%;229%;265%;541%;524%;271%;9%;312%;53%;47%;-19%;-3%;98%;1%;-9%;36%;236%;215%;831%;689%
15/07/2019;149%;143%;141%;131%;122%;113%;120%;203%;196%;213%;-605%;-616%;-76%;61%;-187%;55%;48%;72%;66%;166%;2%;-8%;52%;-335%;-162%;-1749%;-1051%
16/07/2019;80%;74%;83%;74%;48%;40%;47%;-30%;86%;83%;148%;132%;168%;56%;97%;53%;47%;-189%;-129%;144%;1%;-9%;13375%;107%;236%;1182%;1176%
17/07/2019;91%;84%;94%;84%;183%;174%;173%;307%;121%;127%;304%;287%;193%;54%;254%;53%;46%;29%;27%;173%;1%;-10%;55%;133%;197%;453%;-19%
18/07/2019;146%;140%;127%;117%;49%;41%;62%;-178%;130%;93%;149%;133%;122%;-68%;123%;53%;47%;156%;145%;137%;1%;-9%;48%;343%;-44%;995%;1036%
19/07/2019;108%;102%;103%;93%;114%;106%;118%;94%;129%;95%;433%;414%;-37%;8%;-167%;53%;47%;-7%;2%;152%;1%;-9%;38%;-261%;-158%;-1232%;-1485%
